Id,Nombre,Acronimo,Email,Portal de trasnparencia,Sitio web,Disponible
50,Comision Ejecutiva Portuaria Autonoma,CEPA,oficial.informacion@cepa.gob.sv,,http://www.cepa.gob.sv/,True
51,Autoridad de Aviación Civil de El Salvador,AAC,oir@aac.gob.sv,,http://www.aac.gob.sv/,True
52,Fondo Nacional de Vivienda Popular,FONAVIPO,oir@fonavipo.gob.sv,,,True
53,Fondo de Conservación Víal,FOVIAL,xguardado@fovial.com,,http://www.fovial.com,True
54,AUTORIDAD MARÍTIMA PORTUARIA,AMP,jreyes@amp.gob.sv,,http://www.amp.gob.sv,True
55,Ministerio de Medio Ambiente y Recursos Naturales,MARN,oir@marn.gob.sv,,http://www.marn.gob.sv/,True
56,Fondo Ambiental de El Salvador,FONAES,rcabrera@fonaes.gob.sv,,http://fonaes.gob.sv/,True
57,Ministerio de Turismo,MITUR,oficialdeinformacion@mitur.gob.sv,,https://www.transparencia.gob.sv/institutions/mitur,True
58,Instituto Salvadoreño de Turismo,ISTU,smpalacios@istu.gob.sv,,http://www.istu.gob.sv/,True
59,Centro Farmacéutico de la Fuerza Armada,CEFAFA,oficialdeinformacion@farmaciascefafa.com.sv,,http://www.farmaciascefafa.com.sv,True
60,Instituto de Legalización de la Propiedad (ILP),ILP,informacion@ilp.gob.sv,,http://www.ilp.gob.sv,True
61,Fondo Salvadoreño para Estudios de Preinversión,FOSEP,oficialdeinformacion@fosep.gob.sv,,http://www.fosep.gob.sv,True
62,Dirección General de Migración y Extranjería,DGME,oir.dgme@seguridad.gob.sv,,http://www.migracion.gob.sv/,True
63,Fondo Especial de los Recursos provenientes de la Privatización de ANTEL,FANTEL,lquijada@presidencia.gob.sv,,,True
64,Fondo de Saneamiento y Fortalecimiento Financiero ,FOSAFFI,roxana.diaz@fosaffi.gob.sv,,http://www.fosaffi.gob.sv/,True
65,Consejo Nacional de Energía,CNE,oficial@cne.gob.sv,,,True
66,Instituto de Garantía de Depósitos,IGD,oficialdeinformacion@igd.gob.sv,,http://igd.gob.sv/,True
67,Policía Nacional Civil,PNC,oir@pnc.gob.sv,http://transparencia.pnc.gob.sv/,,True
68,Dirección General de Centros Penales,DGCP,iris.valle@seguridad.gob.sv,,http://www.dgcp.gob.sv/,True
69,Instituto de Previsión Social de la Fuerza Armada.,IPSFA,oficial.información@ipsfa.com,,https://www.ipsfa.com/,True
70,Banco de Desarrollo de El Salvador,BANDESAL,oir@bandesal.gob.sv,,,True
71,Instituto Salvadoreño de Bienestar Magisterial,ISBM,oficinadeinformacion@isbm.gob.sv,,http://www.isbm.gob.sv/,True
72,Banco de Fomento Agropecuario,BFA,diego.gomez@bfa.gob.sv,,http://www.bfa.gob.sv/,True
73,Banco Central de Reserva de El Salvador,BCR,oficial.informacion@bcr.gob.sv,,http://www.bcr.gob.sv/esp/,True
74,Consejo Nacional de Atención Integral a la Persona con Discapacidad,CONAIPD,uaip@conaipd.gob.sv,,http://www.conaipd.gob.sv/,True
75,Consejo Nacional de Calidad,CNC,oir@cnc.gob.sv,,,True
76,Dirección Nacional de Medicamentos,DNM,uaip@medicamentos.gob.sv,,http://www.medicamentos.gob.sv/index.php/es/,True
77,Asamblea Legislativa,AL,transparencia@asamblea.gob.sv,,,False
78,Corte de Cuentas de la República,CCR,uaip@cortedecuentas.gob.sv,,,False
79,Consejo Nacional de la Judicatura,CNJ,accesoinformacion@cnj.gob.sv,,,False
80,Corte Suprema de Justicia,CSJ,recepcion.uaip@csj.gob.sv,,,False
81,Fiscalía General de la República,FGR,transparenciainstitucional@fgr.gob.sv,,,False
82,Oficina de Planificación del Área Metropolitana de San Salvador,OPAMSS,informacion@opamss.org.sv,,https://www.opamss.org.sv,True
83,Procuraduría General de la República,PGR,paola.berdugo@pgr.gob.sv,http://www.informacionpublicapgr.gob.sv/index.php/es/,,False
84,Procuraduría para la Defensa de los Derechos Humanos,PDDH,transparencia@pddh.gob.sv,,,False
85,Tribunal de Ética Gubarnamental,TEG,c.artola@teg.gob.sv,,,True
86,Tribunal de Servicio Civil,TSC,oficialdeinformacion@tsc.gob.sv,,https://www.tsc.gob.sv,True
87,Tribunal Supremo Electoral,TSE,tse.oir@gmail.com,,,False
88,Unidad Técnica Ejecutiva del Sector de  Justicia,UTE,uaip@ute.gob.sv,http://transparencia.ute.gob.sv/,,True
89,Alcaldía Municipal de San Miguel,"San Miguel, San Miguel  ",oir@sanmiguel.gob.sv,,,True
90,Alcaldía Municipal de Santa Ana,AMSA,uaip.alcaldiasantaana@gmail.com,,https://santaana.gob.sv/,True
91,Universidad de El Salvador,UES,uaip@ues.edu.sv,,,False
92,Viceministerio de Transporte,VMT,oir.vmt@mop.gob.sv,,,True
93,Organismo Promotor de Exportaciones e Inversiones de El Salvador,PROESA,oir@proesa.gob.sv,,http://www.proesa.gob.sv/,True
94,"Alcaldía Municipal de Chinameca, San Miguel","Chinameca, San Miguel",juridica.moraga@gmail.com,,,True
95,Alcaldía Municipal de Comacarán,"Comacarán, San Miguel",comacaran.alcaldia@yahoo.com,,,True
96,Alcaldía Municipal de El Porvenir ,"El Porvenir, Santa Ana",juliocesar.uaip@hotmail.com,,,True
97,Alcaldía Municipal de Candelaria,"Candelaria, Cuscatlán",alcaldiacandelariacuscatlan@hotmail.com,,,True
99,Alcaldía Municipal de San Pedro Masahuat,"San Pedro Masahuat, La Paz",uaipspm@gmail.com,,,True
100,Alcaldía Municipal de Santiago Texancuangos,"Santiago Texancuangos, San Salvador",secretariomunicipal.st@gmail.com,,,True
101,Alcaldía Municipal de Pasaquina,"Pasaquina, La Unión",elnati@hotmail.es,,,True
